phone_number,price
082-948-8434,8.50E+15
089-999-9999,50000000
094-999-9999,19900000
092-888-8888,17000000
098-789-1565,14900000
083-111-1111,12900000
089-666-6666,12900000
098-924-5690,9999999
082-777-7777,9990000
082-782-9999,9900000
087-777-7777,5000000
099-789-5456,9900000
091-199-9999,4900000
081-399-9999,3999999
097-987-8954,3550000
088-888-9999,3500000
098-789-8989,3500000
098-789-6654,3000000
098-789-9879,3000000
088-789-5659,2999999
080-099-9999,2900000
089-595-9595,2900000
081-588-8888,2900000
087-799-9999,2900000
090-099-9999,2900000
087-789-9999,2599999
089-696-9696,2500000
094-789-3645,2500000
097-898-9898,2500000
088-000-0008,2000000
081-595-9595,2000000
088-080-0000,2000000
089-656-5442,2000000
080-969-6999,1999900
092-455-5555,1990000
081-180-6665,1900000
098-789-6456,1900000
082-788-8888,1890000
081-886-1688,1800000
097-989-9999,1590000
098-289-1168,1590000
065-554-5555,1500000
062-828-9999,1500000
088-789-5656,1500000
083-287-9999,1500000
094-789-7895,1500000
098-289-3636,1500000
094-878-9919,1500000
080-988-8888,1488888
082-499-9999,1430000
090-299-9999,1430000
092-929-2929,1430000
087-088-8888,1420000
095-123-4567,1420000
085-488-8888,1310000
089-388-8888,1310000
082-459-9999,1299999
095-444-5555,1290000
096-555-6666,1290000
064-599-9999,1250000
093-168-1682,1250000
093-168-1680,1250000
088-818-8888,1200000
086-488-8888,1200000
080-000-0007,1200000
098-789-3663,1200000
095-659-6395,1200000
091-919-1989,1159000
081-888-7716,1000000
080-446-4646,1000000
090-909-0914,1000000
090-081-6666,1000000
099-987-9599,1000000
086-000-6000,999999
084-000-4000,999999
088-789-2456,999999
089-876-5432,999999
086-789-3636,999999
089-789-6965,999999
082-987-4556,999999
095-541-5151,999999
094-545-4515,999999
095-636-9999,999999
095-659-9956,999999
094-545-4514,999999
094-545-4541,999999
098-789-9695,999999
089-789-6456,999000
089-789-4565,999000
086-990-9900,999000
099-909-8887,999000
099-909-8886,999000
084-646-4646,990000
091-545-1515,990000
089-954-9545,950000
092-456-5145,950000
088-789-1789,900000
091-789-5959,900000
098-789-1542,899000
098-789-2428,899000
098-789-2441,899000
098-789-2414,899000
098-789-2415,899000
089-007-8998,890000
080-168-0000,890000
